step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,11.888995105731867
10.0,0,0.0,0.0,12.52603161020194
15.0,0,0.0,0.0,12.52318641775028
20.0,0,0.0,0.0,12.60712017213052
25.0,0,0.0,0.0,12.704916263069014
30.0,0,0.0,0.0,12.696791736714145
35.0,0,0.0,0.0,13.060063482248019
40.0,0,0.0,0.0,13.108868190574535
45.0,0,0.0,0.0,12.849761035310921
50.0,0,0.0,0.0,12.934678486779935
55.0,0,0.0,0.0,11.49695663940876
60.0,2,9.0,0.375,11.121109997424051
65.0,4,24.0,0.7272727272727273,10.5848474004644
70.0,7,52.0,1.5757575757575757,9.672103739125703
75.0,9,96.0,2.909090909090909,9.58954420085848
80.0,9,141.0,4.2727272727272725,9.58900150114145
85.0,8,115.0,3.1944444444444446,8.683276455815665
90.0,12,165.0,4.583333333333333,7.813142263368318
95.0,14,234.0,5.2,8.69234376770001
100.0,15,309.0,6.866666666666666,8.601163718279981
105.0,15,384.0,8.533333333333333,8.761100925473043
110.0,15,459.0,10.2,8.198696649695664
115.0,17,539.0,12.534883720930232,7.374893828349113
120.0,20,632.0,14.69767441860465,6.152330722181966
125.0,19,524.0,9.527272727272727,7.438337440715609
130.0,15,495.0,9.0,8.586661070770617
135.0,15,570.0,10.555555555555555,8.985554036138767
140.0,16,646.0,12.18867924528302,8.561863576441048
145.0,18,732.0,14.076923076923077,7.85546187550323
150.0,21,831.0,15.98076923076923,7.101499242553524
155.0,23,939.0,15.39344262295082,7.84108138944629
160.0,24,1059.0,17.65,7.723030452989234
165.0,22,986.0,15.903225806451612,7.866402094536282
170.0,14,583.0,9.403225806451612,8.488449667812752
175.0,13,614.0,10.065573770491802,8.987061385195725
180.0,15,684.0,11.59322033898305,8.660606326227729
185.0,16,763.0,11.56060606060606,9.195902385123368
190.0,18,846.0,13.428571428571429,8.573519128914008
195.0,21,941.0,15.426229508196721,8.49211269330226
200.0,21,1046.0,17.433333333333334,8.19733336166951
205.0,23,1158.0,18.677419354838708,7.382131373335427
210.0,17,428.0,7.133333333333334,7.513394463013909
215.0,14,421.0,6.101449275362318,9.063721125850302
220.0,15,496.0,7.188405797101449,9.290437973716726
225.0,16,576.0,8.470588235294118,9.421556745514314
230.0,18,660.0,9.850746268656716,9.37863793364793
235.0,19,755.0,12.17741935483871,8.525395919041033
240.0,22,857.0,14.525423728813559,7.547184462950788
245.0,24,976.0,13.746478873239436,8.605186825894386
250.0,20,725.0,10.661764705882353,8.745271944841804
255.0,16,634.0,9.606060606060606,9.317120358404326
260.0,15,683.0,10.507692307692308,9.744328980247815
265.0,16,760.0,12.258064516129032,8.496431436717524
270.0,21,855.0,13.790322580645162,7.850056582107168
275.0,24,965.0,14.621212121212121,7.900365522471346
280.0,24,1085.0,16.953125,8.007445284609828
285.0,24,1205.0,18.257575757575758,8.181820471253504
290.0,19,745.0,11.287878787878787,8.124113463373332
295.0,14,592.0,9.866666666666667,8.137552721120352
300.0,17,671.0,11.183333333333334,8.38033904898475
305.0,21,769.0,11.144927536231885,8.773337579927864
310.0,21,874.0,13.044776119402986,8.977250078554786
315.0,21,979.0,14.611940298507463,9.007777951217989
320.0,21,1084.0,16.424242424242426,8.87704149029266
325.0,22,1190.0,18.03030303030303,8.091030934622125
330.0,23,859.0,13.421875,7.382540611604805
335.0,17,496.0,6.985915492957746,8.613218353352542
340.0,15,509.0,7.271428571428571,9.254863756650726
345.0,15,584.0,8.588235294117647,9.268775935826675
350.0,17,667.0,10.421875,9.382675526281805
355.0,17,752.0,12.327868852459016,8.776927172326404
360.0,20,848.0,14.87719298245614,8.078032601048372
365.0,22,953.0,14.014705882352942,8.59408263584722
370.0,21,865.0,12.91044776119403,8.752278328726923
375.0,11,462.0,7.107692307692307,9.252588784503589
380.0,12,522.0,8.03076923076923,9.949321026894783
385.0,13,585.0,9.140625,9.826116876682475
390.0,15,655.0,10.396825396825397,9.430033827128927
395.0,16,734.0,10.63768115942029,9.477160961389405
400.0,19,825.0,13.095238095238095,8.966685550303017
405.0,20,922.0,14.184615384615384,8.963709579263123
410.0,20,1022.0,16.22222222222222,8.60741514646527
415.0,16,633.0,10.37704918032787,8.45191891251945
