step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,12.335244269305152
10.0,0,0.0,0.0,13.21007227187014
15.0,0,0.0,0.0,13.328026968754976
20.0,0,0.0,0.0,13.392474249031538
25.0,0,0.0,0.0,13.355620657091084
30.0,0,0.0,0.0,13.38280571294899
35.0,0,0.0,0.0,13.324323897483936
40.0,0,0.0,0.0,13.681184304892826
45.0,0,0.0,0.0,13.521912448722357
50.0,0,0.0,0.0,12.74930210677995
55.0,2,7.0,0.21212121212121213,12.336896859159994
60.0,4,19.0,0.5757575757575758,10.97396817057265
65.0,6,45.0,1.0,11.178268095854147
70.0,9,84.0,1.8666666666666667,10.64411398805725
75.0,9,129.0,2.8666666666666667,10.306627327347197
80.0,12,185.0,4.111111111111111,9.821414435120012
85.0,11,197.0,3.6481481481481484,9.545012535587245
90.0,12,257.0,4.7592592592592595,9.809079268032107
95.0,14,322.0,5.649122807017544,9.298892135644502
100.0,17,402.0,7.052631578947368,9.31817435025348
105.0,20,494.0,7.484848484848484,9.259695437320909
110.0,22,600.0,9.090909090909092,8.392282516961298
115.0,25,724.0,10.969696969696969,7.726785121941043
120.0,27,858.0,13.40625,7.144074710560389
125.0,27,762.0,10.583333333333334,7.66848394100261
130.0,19,668.0,9.277777777777779,8.610256749400515
135.0,20,765.0,10.625,8.50919880968201
140.0,23,880.0,12.394366197183098,8.478741424331194
145.0,25,1000.0,12.658227848101266,8.999278697414303
150.0,25,1125.0,14.802631578947368,8.610920657983621
155.0,27,1257.0,16.115384615384617,8.348518478588181
160.0,28,1396.0,17.897435897435898,7.97958813423122
165.0,30,1332.0,15.310344827586206,8.021366882623942
170.0,23,778.0,9.152941176470588,8.204053892715587
175.0,22,684.0,8.047058823529412,8.577898917004893
180.0,22,751.0,8.83529411764706,8.447496117678527
185.0,25,869.0,9.445652173913043,8.754610773587627
190.0,27,998.0,10.967032967032967,8.673666857006333
195.0,27,1133.0,13.022988505747126,8.417804931822532
200.0,29,1274.0,15.166666666666666,8.188520496621793
205.0,31,1425.0,15.659340659340659,8.322989074189222
210.0,24,721.0,8.101123595505618,8.425926503974576
215.0,18,585.0,6.428571428571429,8.975723435714078
220.0,19,678.0,7.533333333333333,9.071891888739875
225.0,21,778.0,7.858585858585859,9.284770357868696
230.0,23,893.0,9.302083333333334,9.286869271343322
235.0,26,1014.0,11.021739130434783,8.501532611890271
240.0,30,1155.0,13.125,8.13410135326002
245.0,31,1310.0,13.645833333333334,8.324632836744545
250.0,29,1063.0,11.308510638297872,7.938000211007704
255.0,28,898.0,9.553191489361701,7.919512940349147
260.0,26,946.0,10.063829787234043,7.917069453133834
265.0,28,1085.0,10.637254901960784,8.501200246269091
270.0,30,1232.0,12.571428571428571,8.454498511825815
275.0,32,1385.0,14.89247311827957,7.90863429111247
280.0,35,1555.0,16.902173913043477,7.686855441250584
285.0,36,1733.0,17.8659793814433,7.709085859771915
290.0,34,1306.0,14.043010752688172,7.220932424273821
295.0,29,903.0,9.923076923076923,7.511844547113694
300.0,27,975.0,10.955056179775282,7.289677115540566
305.0,31,1126.0,11.148514851485148,8.239026845954859
310.0,32,1286.0,12.98989898989899,8.17056418922152
315.0,34,1452.0,14.969072164948454,7.982429927514479
320.0,34,1622.0,17.25531914893617,7.548506065374415
325.0,40,1812.0,17.940594059405942,7.800173638350028
330.0,37,1576.0,15.919191919191919,7.656846866419333
335.0,32,1131.0,11.198019801980198,7.622799354381743
340.0,31,1081.0,10.81,7.93850262810274
345.0,28,1160.0,10.642201834862385,8.779043017457946
350.0,28,1300.0,12.149532710280374,8.8381463913409
355.0,30,1442.0,13.733333333333333,8.128765317815075
360.0,35,1612.0,16.12,7.7913280543301315
365.0,37,1790.0,16.422018348623855,8.181725469381352
370.0,37,1743.0,16.443396226415093,7.98591455111397
375.0,30,1102.0,11.02,7.595524060410561
380.0,25,997.0,10.278350515463918,7.808786485682017
385.0,26,1114.0,10.711538461538462,8.620179721208919
390.0,28,1250.0,12.254901960784315,8.365870206660153
395.0,32,1402.0,13.881188118811881,8.113252527408465
400.0,33,1567.0,15.67,8.152619334381669
405.0,34,1733.0,16.349056603773583,8.515273357116708
410.0,36,1907.0,18.88118811881188,8.224802925106678
415.0,32,1476.0,15.216494845360824,8.127956760125224
420.0,29,1240.0,12.916666666666666,7.830114912567673
425.0,33,1157.0,10.813084112149532,8.065415242427287
430.0,30,1215.0,11.682692307692308,8.011471857407688
435.0,34,1375.0,13.480392156862745,7.603086511346966
440.0,37,1555.0,15.707070707070708,7.42625343355945
445.0,38,1743.0,16.289719626168225,7.7975534557284885
450.0,40,1937.0,19.178217821782177,6.938260789942105
455.0,39,1351.0,13.51,6.726604478462502
460.0,31,1077.0,11.21875,7.210450599691506
465.0,31,1194.0,11.821782178217822,8.0276357802642
